Variable1,days_to_flowering,fruit_weight,fruit_diameter,fruit_length
sand,0.79,0.15,-0.83,-0.79
clay,-0.22,-0.25,0.04,0.03
silt,-0.81,-0.1,0.9,0.86
p_h,-0.57,0.07,0.36,0.43
total_n,-0.77,0.5,0.84,0.87
tom,-0.6,0.48,0.91,0.91
toc,-0.6,0.48,0.91,0.91
total_p_mg_kg,-0.55,0.67,0.88,0.87
na_cmol_kg,-0.38,0.28,0.32,0.34
k_cmol_kg,-0.82,-0.13,0.38,0.46
ca2_cmol_kg,-0.56,0.5,0.78,0.76
mg2_cmol_kg,0.24,0.18,-0.36,-0.32
ex_acidity_cmol_kg,-0.67,0.25,0.47,0.56
cec_cmol_kg,-0.81,0.4,0.83,0.89
base_saturation,-0.7,0.33,0.45,0.58
fe_mg_kg,0.14,0.44,0.27,0.19
mn_mg_kg,0.57,-0.44,-0.86,-0.82
